Floodplains,Municipalities,Provinces,Rainfall event,,,FMC USE (FOR VLOOKUP),,,
,,,100 Yr,25 Yr,5 Yr,,,,
Palo,Palo,Leyte,273,222.6,161.4,"Palo, Leyte",273,222.6,161.4
,Santa_Fe,Leyte,273,222.6,161.4,"Santa_Fe, Leyte",273,222.6,161.4
,Tacloban_City,Leyte,273,222.6,161.4,"Tacloban_City, Leyte",273,222.6,161.4
,Tanauan,Leyte,273,222.6,161.4,"Tanauan, Leyte",273,222.6,161.4
San_Cristobal,Cabuyao,Laguna,434.3,340.4,226.7,"Cabuyao, Laguna",434.3,340.4,226.7
,Calamba_City,Laguna,434.3,340.4,226.7,"Calamba_City, Laguna",434.3,340.4,226.7
,Santa_Rosa_City,Laguna,434.3,340.4,226.7,"Santa_Rosa_City, Laguna",434.3,340.4,226.7
Silaga,Basey,Samar,509.4,407.4,283.8,"Basey, Samar",509.4,407.4,283.8
,Pinabacdao,Samar,509.4,407.4,283.8,"Pinabacdao, Samar",509.4,407.4,283.8
,Santa_Rita,Samar,509.4,407.4,283.8,"Santa_Rita, Samar",509.4,407.4,283.8
,Villareal,Samar,273,222.6,161.4,"Villareal, Samar",273,222.6,161.4
Sto_Tomas,Castillejos,Zambales,533.6,431.1,307,"Castillejos, Zambales",533.6,431.1,307
,San_Antonio,Zambales,533.6,431.1,307,"San_Antonio, Zambales",533.6,431.1,307
,San_Felipe,Zambales,533.6,431.1,307,"San_Felipe, Zambales",533.6,431.1,307
,San_Marcelino,Zambales,533.6,431.1,307,"San_Marcelino, Zambales",533.6,431.1,307
,San_Narciso,Zambales,533.6,431.1,307,"San_Narciso, Zambales",533.6,431.1,307
,Subic,Zambales,533.6,431.1,307,"Subic, Zambales",533.6,431.1,307
Tagulaya,Santa_Cruz,Davao_del_Sur,202.1,165.5,121.1,"Santa_Cruz, Davao_del_Sur",202.1,165.5,121.1
Talomo,Davao_City,Davao_del_Sur,202.1,165.5,121.1,"Davao_City, Davao_del_Sur",202.1,165.5,121.1
Tibiao,Tibiao,Antique,304.5,241.5,165.2,"Tibiao, Antique",304.5,241.5,165.2
Ypayo,Patnongon,Antique,304.5,241.5,165.2,"Patnongon, Antique",304.5,241.5,165.2
Musi_&_Balatucan,Balingasag,Misamis_Oriental,239.7,189.8,129.2,"Balingasag, Misamis_Oriental",239.7,189.8,129.2
,Jasaan,Misamis_Oriental,239.7,189.8,129.2,"Jasaan, Misamis_Oriental",239.7,189.8,129.2
,Lagonglong,Misamis_Oriental,239.7,189.8,129.2,"Lagonglong, Misamis_Oriental",239.7,189.8,129.2
Baleno,Baleno,Masbate,490.3,386.4,260.5,"Baleno, Masbate",490.3,386.4,260.5
,Masbate_City,Masbate,490.3,386.4,260.5,"Masbate_City, Masbate",490.3,386.4,260.5
Bislig,Trento,Agusan_del_Sur,483.1,389.7,276.5,"Trento, Agusan_del_Sur",483.1,389.7,276.5
,Bislig_City,Surigao_del_Sur,483.1,389.7,276.5,"Bislig_City, Surigao_del_Sur",483.1,389.7,276.5
Clarin,Clarin,Misamis_Occidental,294.4,242,178.5,"Clarin, Misamis_Occidental",294.4,242,178.5
,Ozamis_City,Misamis_Occidental,294.4,242,178.5,"Ozamis_City, Misamis_Occidental",294.4,242,178.5
,Tudela,Misamis_Occidental,294.4,242,178.5,"Tudela, Misamis_Occidental",294.4,242,178.5
Ibajay,Ibajay,Aklan,344.6,273,186.2,"Ibajay, Aklan",344.6,273,186.2
,Nabas,Aklan,344.6,273,186.2,"Nabas, Aklan",344.6,273,186.2
,Pandan,Antique,344.6,273,186.2,"Pandan, Antique",344.6,273,186.2
Loboc,Albuquerque,Bohol,222.6,176.7,121.2,"Albuquerque, Bohol",222.6,176.7,121.2
,Loay,Bohol,222.6,176.7,121.2,"Loay, Bohol",222.6,176.7,121.2
,Loboc,Bohol,222.6,176.7,121.2,"Loboc, Bohol",222.6,176.7,121.2
Oroquita,Aloran,Misamis_Occidental,294.4,242,178.5,"Aloran, Misamis_Occidental",294.4,242,178.5
,Don_Victoriano_Chiongbian,Misamis_Occidental,294.4,242,178.5,"Don_Victoriano_Chiongbian, Misamis_Occidental",294.4,242,178.5
,Jimenez,Misamis_Occidental,294.4,242,178.5,"Jimenez, Misamis_Occidental",294.4,242,178.5
,Oroquieta_City,Misamis_Occidental,294.4,242,178.5,"Oroquieta_City, Misamis_Occidental",294.4,242,178.5
Asid,Masbate_City,Masbate,490.3,386.4,260.5,"Masbate_City, Masbate",490.3,386.4,260.5
,Milagros,Masbate,344.6,273,186.2,"Milagros, Masbate",344.6,273,186.2
,Mobo,Masbate,490.3,386.4,260.5,"Mobo, Masbate",490.3,386.4,260.5
Baroro,Bacnotan,La_Union,1134,876.1,563.6,"Bacnotan, La_Union",1134,876.1,563.6
,Bagulin,La_Union,1134,876.1,563.6,"Bagulin, La_Union",1134,876.1,563.6
,San_Fernando_City,La_Union,1134,876.1,563.6,"San_Fernando_City, La_Union",1134,876.1,563.6
,San_Gabriel,La_Union,1134,876.1,563.6,"San_Gabriel, La_Union",1134,876.1,563.6
,San_Juan,La_Union,1134,876.1,563.6,"San_Juan, La_Union",1134,876.1,563.6
Barotac,Ajuy,Iloilo,304.5,241.5,165.2,"Ajuy, Iloilo",304.5,241.5,165.2
,Anilao,Iloilo,304.5,241.5,165.2,"Anilao, Iloilo",304.5,241.5,165.2
,Banate,Iloilo,304.5,241.5,165.2,"Banate, Iloilo",304.5,241.5,165.2
,Barotac_Viejo,Iloilo,304.5,241.5,165.2,"Barotac_Viejo, Iloilo",304.5,241.5,165.2
,Lemery,Iloilo,344.6,273,186.2,"Lemery, Iloilo",344.6,273,186.2
,San_Enrique,Iloilo,304.5,241.5,165.2,"San_Enrique, Iloilo",304.5,241.5,165.2
,San_Rafael,Iloilo,304.5,241.5,165.2,"San_Rafael, Iloilo",304.5,241.5,165.2
Digos_&_Padala_Mainit,Bansalan,Davao_del_Sur,202.1,165.5,121.1,"Bansalan, Davao_del_Sur",202.1,165.5,121.1
,Digos_City,Davao_del_Sur,202.1,165.5,121.1,"Digos_City, Davao_del_Sur",202.1,165.5,121.1
,Hagonoy,Davao_del_Sur,195.2,153.4,102.7,"Hagonoy, Davao_del_Sur",195.2,153.4,102.7
,Kiblawan,Davao_del_Sur,195.2,153.4,102.7,"Kiblawan, Davao_del_Sur",195.2,153.4,102.7
,Magsaysay,Davao_del_Sur,195.2,153.4,102.7,"Magsaysay, Davao_del_Sur",195.2,153.4,102.7
,Malalag,Davao_del_Sur,195.2,153.4,102.7,"Malalag, Davao_del_Sur",195.2,153.4,102.7
,Matanao,Davao_del_Sur,195.2,153.4,102.7,"Matanao, Davao_del_Sur",195.2,153.4,102.7
,Padada,Davao_del_Sur,195.2,153.4,102.7,"Padada, Davao_del_Sur",195.2,153.4,102.7
,Santa_Cruz,Davao_del_Sur,202.1,165.5,121.1,"Santa_Cruz, Davao_del_Sur",202.1,165.5,121.1
,Sulop,Davao_del_Sur,195.2,153.4,102.7,"Sulop, Davao_del_Sur",195.2,153.4,102.7
,Columbio,Sultan_Kudarat,195.2,153.4,102.7,"Columbio, Sultan_Kudarat",195.2,153.4,102.7
Imbang_Malogo,Cadiz_City,Negros_Occidental,304.5,241.5,165.2,"Cadiz_City, Negros_Occidental",304.5,241.5,165.2
,Calatrava,Negros_Occidental,265.7,208.5,139.1,"Calatrava, Negros_Occidental",265.7,208.5,139.1
,Enrique_B_Magalona,Negros_Occidental,304.5,241.5,165.2,"Enrique_B_Magalona, Negros_Occidental",304.5,241.5,165.2
,Manapla,Negros_Occidental,304.5,241.5,165.2,"Manapla, Negros_Occidental",304.5,241.5,165.2
,Salvador_Benedicto,Negros_Occidental,265.7,208.5,139.1,"Salvador_Benedicto, Negros_Occidental",265.7,208.5,139.1
,Silay_City,Negros_Occidental,304.5,241.5,165.2,"Silay_City, Negros_Occidental",304.5,241.5,165.2
,Talisay_City,Negros_Occidental,304.5,241.5,165.2,"Talisay_City, Negros_Occidental",304.5,241.5,165.2
,Victorias_City,Negros_Occidental,304.5,241.5,165.2,"Victorias_City, Negros_Occidental",304.5,241.5,165.2
Inabanga,Buenavista,Bohol,265.7,208.5,139.1,"Buenavista, Bohol",265.7,208.5,139.1
,Clarin,Bohol,265.7,208.5,139.1,"Clarin, Bohol",265.7,208.5,139.1
,Danao,Bohol,265.7,208.5,139.1,"Danao, Bohol",265.7,208.5,139.1
,Inabanga,Bohol,265.7,208.5,139.1,"Inabanga, Bohol",265.7,208.5,139.1
Mandaon,Mandaon,Masbate,344.6,273,186.2,"Mandaon, Masbate",344.6,273,186.2
,Milagros,Masbate,344.6,273,186.2,"Milagros, Masbate",344.6,273,186.2
Balamban,Asturias,Cebu,265.7,208.5,139.1,"Asturias, Cebu",265.7,208.5,139.1
,Balamban,Cebu,265.7,208.5,139.1,"Balamban, Cebu",265.7,208.5,139.1
Manicahan,Zamboanga_City,Zamboanga_del_Sur,191.1,153.4,107.8,"Zamboanga_City, Zamboanga_del_Sur",191.1,153.4,107.8
Sapang_Dako,Toledo_City,Cebu,265.7,208.5,139.1,"Toledo_City, Cebu",265.7,208.5,139.1
Tanjay,Amlan,Negros_Oriental,227.3,177.2,116.5,"Amlan, Negros_Oriental",227.3,177.2,116.5
,Pamplona,Negros_Oriental,227.3,177.2,116.5,"Pamplona, Negros_Oriental",227.3,177.2,116.5
,Tanjay_City,Negros_Oriental,227.3,177.2,116.5,"Tanjay_City, Negros_Oriental",227.3,177.2,116.5
Anahawin,Calintaan,Occidental_Mindoro,313.3,249.2,171.6,"Calintaan, Occidental_Mindoro",313.3,249.2,171.6
,Rizal,Occidental_Mindoro,313.3,249.2,171.6,"Rizal, Occidental_Mindoro",313.3,249.2,171.6
,Sablayan,Occidental_Mindoro,313.3,249.2,171.6,"Sablayan, Occidental_Mindoro",313.3,249.2,171.6
Pagsanjan,Calauan,Laguna,508.3,404.8,279.5,"Calauan, Laguna",508.3,404.8,279.5
,Cavinti,Laguna,508.3,404.8,279.5,"Cavinti, Laguna",508.3,404.8,279.5
,Liliw,Laguna,508.3,404.8,279.5,"Liliw, Laguna",508.3,404.8,279.5
,Luisiana,Laguna,508.3,404.8,279.5,"Luisiana, Laguna",508.3,404.8,279.5
,Lumban,Laguna,508.3,404.8,279.5,"Lumban, Laguna",508.3,404.8,279.5
