MUNI_PROV,t24_100yr,t24_25yr,t24_5yr
"Besao, Mountain_Province",1134,876.1,563.6
"Bien_Unido, Bohol",265.7,208.5,139.1
"Bien_Unido, Bohol",316.3,259.6,190.8
"Bilar, Bohol",222.6,176.7,121.2
"Biliran, Biliran",273,222.6,161.4
"Biliran, Biliran",418.8,331.3,255.3
"Binalbagan, Negros_Occidental",227.3,177.2,116.5
"Binalbagan, Negros_Occidental",304.5,241.5,165.2
"Binalonan, Pangasinan",440.5,352.9,246.7
"Binalonan, Pangasinan",1134,876.1,563.6
"Biñan, Laguna",377.6,301.5,209.4
"Biñan, Laguna",434.3,340.4,226.7
"Binangonan, Rizal",481.2,373.6,243.1
"Binangonan, Rizal",434.3,340.4,226.7
"Bindoy, Negros_Oriental",227.3,177.2,116.5
"Bingawan, Iloilo",304.5,241.5,165.2
"Bingawan, Iloilo",344.6,273,186.2
"Binidayan, Lanao_del_Sur",255.5,204,141.7
"Binmaley, Pangasinan",440.5,352.9,246.7
"Binuangan, Misamis_Oriental",239.7,189.8,129.2
"Biri, Northern_Samar",461.8,368.5,255.4
"Bislig_City, Surigao_del_Sur",483.1,389.7,276.5
"Boac, Marinduque",313.3,249.2,171.6
"Boac, Marinduque",508.3,404.8,279.5
"Boac, Marinduque",466.7,369.6,252
"Bobon, Northern_Samar",461.8,368.5,255.4
"Bocaue, Bulacan",481.2,373.6,243.1
"Bocaue, Bulacan",415.6,328.8,223.5
"Bogo_City, Cebu",265.7,208.5,139.1
"Bokod, Benguet",1134,876.1,563.6
"Bolinao, Pangasinan",440.5,352.9,246.7
"Boliney, Abra",602,479.8,331.7
"Boliney, Abra",465.5,367.2,248
"Boljoon, Cebu",227.3,177.2,116.5
"Boljoon, Cebu",222.6,176.7,121.2
"Bombon, Camarines_Sur",520.3,411.1,278.7
"Bongabon, Nueva_Ecija",349.3,275.2,185.3
"Bongabon, Nueva_Ecija",551.7,428.2,278.6
"Bongabong, Oriental_Mindoro",313.3,249.2,171.6
"Bongao, Tawi_Tawi",191.1,153.4,107.8
"Bonifacio, Misamis_Occidental",294.4,242,178.5
"Bontoc, Mountain_Province",465.5,367.2,248
"Bontoc, Mountain_Province",1134,876.1,563.6
"Bontoc, Southern_Leyte",316.3,259.6,190.8
"Borbon, Cebu",265.7,208.5,139.1
"Borongan_City, Eastern_Samar",509.4,407.4,283.8
"Boston, Davao_Oriental",483.1,389.7,276.5
"Botolan, Zambales",533.6,431.1,307
"Braulio_E_Dujali, Davao_del_Norte",202.1,165.5,121.1
"Brooke's_Point, Palawan",299.6,234.9,156.4
"Buadiposo_Buntong, Lanao_del_Sur",255.5,204,141.7
