River_Basins,Municipalities,Provinces,Rainfall event,,,FMC USE (for VLOOKUP),,,
,,,100 Yr,25 Yr,5 Yr,,,,
,Maco,Compostela_Valley,202.1,165.5,121.1,"Maco, Compostela_Valley",202.1,165.5,121.1
,Mawab,Compostela_Valley,202.1,165.5,121.1,"Mawab, Compostela_Valley",202.1,165.5,121.1
,New_Corella,Davao_del_Norte,202.1,165.5,121.1,"New_Corella, Davao_del_Norte",202.1,165.5,121.1
Agno,Aguilar,Pangasinan,440.5,352.9,246.7,"Aguilar, Pangasinan",440.5,352.9,246.7
,Alcala,Pangasinan,440.5,352.9,246.7,"Alcala, Pangasinan",440.5,352.9,246.7
,Anao,Tarlac,349.3,275.2,185.3,"Anao, Tarlac",349.3,275.2,185.3
,Asingan,Pangasinan,440.5,352.9,246.7,"Asingan, Pangasinan",440.5,352.9,246.7
,Balungao,Pangasinan,349.3,275.2,185.3,"Balungao, Pangasinan",349.3,275.2,185.3
,Basista,Pangasinan,440.5,352.9,246.7,"Basista, Pangasinan",440.5,352.9,246.7
,Bautista,Pangasinan,440.5,352.9,246.7,"Bautista, Pangasinan",440.5,352.9,246.7
,Bayambang,Pangasinan,440.5,352.9,246.7,"Bayambang, Pangasinan",440.5,352.9,246.7
,Binalonan,Pangasinan,440.5,352.9,246.7,"Binalonan, Pangasinan",440.5,352.9,246.7
,Binmaley,Pangasinan,440.5,352.9,246.7,"Binmaley, Pangasinan",440.5,352.9,246.7
,Bugallon,Pangasinan,440.5,352.9,246.7,"Bugallon, Pangasinan",440.5,352.9,246.7
,Calasiao,Pangasinan,440.5,352.9,246.7,"Calasiao, Pangasinan",440.5,352.9,246.7
,Camiling,Tarlac,533.6,431.1,307,"Camiling, Tarlac",533.6,431.1,307
,Cuyapo,Nueva_Ecija,349.3,275.2,185.3,"Cuyapo, Nueva_Ecija",349.3,275.2,185.3
,Dagupan_City,Pangasinan,440.5,352.9,246.7,"Dagupan_City, Pangasinan",440.5,352.9,246.7
,Gerona,Tarlac,533.6,431.1,307,"Gerona, Tarlac",533.6,431.1,307
,Guimba,Nueva_Ecija,349.3,275.2,185.3,"Guimba, Nueva_Ecija",349.3,275.2,185.3
,Infanta,Pangasinan,533.6,431.1,307,"Infanta, Pangasinan",533.6,431.1,307
,La_Paz,Tarlac,349.3,275.2,185.3,"La_Paz, Tarlac",349.3,275.2,185.3
,Labrador,Pangasinan,440.5,352.9,246.7,"Labrador, Pangasinan",440.5,352.9,246.7
,Laoac,Pangasinan,440.5,352.9,246.7,"Laoac, Pangasinan",440.5,352.9,246.7
,Licab,Nueva_Ecija,349.3,275.2,185.3,"Licab, Nueva_Ecija",349.3,275.2,185.3
,Lingayen,Pangasinan,440.5,352.9,246.7,"Lingayen, Pangasinan",440.5,352.9,246.7
,Mabini,Pangasinan,440.5,352.9,246.7,"Mabini, Pangasinan",440.5,352.9,246.7
,Malasiqui,Pangasinan,440.5,352.9,246.7,"Malasiqui, Pangasinan",440.5,352.9,246.7
,Manaoag,Pangasinan,440.5,352.9,246.7,"Manaoag, Pangasinan",440.5,352.9,246.7
,Mangaldan,Pangasinan,440.5,352.9,246.7,"Mangaldan, Pangasinan",440.5,352.9,246.7
,Mangatarem,Pangasinan,533.6,431.1,307,"Mangatarem, Pangasinan",533.6,431.1,307
,Mapandan,Pangasinan,440.5,352.9,246.7,"Mapandan, Pangasinan",440.5,352.9,246.7
,Mayantoc,Tarlac,533.6,431.1,307,"Mayantoc, Tarlac",533.6,431.1,307
,Moncada,Tarlac,440.5,352.9,246.7,"Moncada, Tarlac",440.5,352.9,246.7
,Muñoz_City,Nueva_Ecija,349.3,275.2,185.3,"Muñoz_City, Nueva_Ecija",349.3,275.2,185.3
,Nampicuan,Nueva_Ecija,349.3,275.2,185.3,"Nampicuan, Nueva_Ecija",349.3,275.2,185.3
,Natividad,Pangasinan,440.5,352.9,246.7,"Natividad, Pangasinan",440.5,352.9,246.7
,Paniqui,Tarlac,349.3,275.2,185.3,"Paniqui, Tarlac",349.3,275.2,185.3
,Pozzorubio,Pangasinan,440.5,352.9,246.7,"Pozzorubio, Pangasinan",440.5,352.9,246.7
,Pura,Tarlac,349.3,275.2,185.3,"Pura, Tarlac",349.3,275.2,185.3
,Ramos,Tarlac,349.3,275.2,185.3,"Ramos, Tarlac",349.3,275.2,185.3
,Rosales,Pangasinan,440.5,352.9,246.7,"Rosales, Pangasinan",440.5,352.9,246.7
,San_Carlos_City,Pangasinan,440.5,352.9,246.7,"San_Carlos_City, Pangasinan",440.5,352.9,246.7
,San_Clemente,Tarlac,533.6,431.1,307,"San_Clemente, Tarlac",533.6,431.1,307
,San_Fabian,Pangasinan,440.5,352.9,246.7,"San_Fabian, Pangasinan",440.5,352.9,246.7
,San_Jacinto,Pangasinan,440.5,352.9,246.7,"San_Jacinto, Pangasinan",440.5,352.9,246.7
,San_Jose,Tarlac,533.6,431.1,307,"San_Jose, Tarlac",533.6,431.1,307
,San_Manuel,Pangasinan,440.5,352.9,246.7,"San_Manuel, Pangasinan",440.5,352.9,246.7
,San_Manuel,Tarlac,440.5,352.9,246.7,"San_Manuel, Tarlac",440.5,352.9,246.7
,San_Quintin,Pangasinan,349.3,275.2,185.3,"San_Quintin, Pangasinan",349.3,275.2,185.3
,Santa_Barbara,Pangasinan,440.5,352.9,246.7,"Santa_Barbara, Pangasinan",440.5,352.9,246.7
,Santa_Ignacia,Tarlac,533.6,431.1,307,"Santa_Ignacia, Tarlac",533.6,431.1,307
,Santa_Maria,Pangasinan,440.5,352.9,246.7,"Santa_Maria, Pangasinan",440.5,352.9,246.7
,Santo_Tomas,Pangasinan,440.5,352.9,246.7,"Santo_Tomas, Pangasinan",440.5,352.9,246.7
,Sison,Pangasinan,440.5,352.9,246.7,"Sison, Pangasinan",440.5,352.9,246.7
,Talugtug,Nueva_Ecija,349.3,275.2,185.3,"Talugtug, Nueva_Ecija",349.3,275.2,185.3
,Tarlac_City,Tarlac,533.6,431.1,307,"Tarlac_City, Tarlac",533.6,431.1,307
,Tayug,Pangasinan,440.5,352.9,246.7,"Tayug, Pangasinan",440.5,352.9,246.7
,Umingan,Pangasinan,349.3,275.2,185.3,"Umingan, Pangasinan",349.3,275.2,185.3
,Urbiztondo,Pangasinan,440.5,352.9,246.7,"Urbiztondo, Pangasinan",440.5,352.9,246.7
,Urdaneta_City,Pangasinan,440.5,352.9,246.7,"Urdaneta_City, Pangasinan",440.5,352.9,246.7
,Victoria,Tarlac,349.3,275.2,185.3,"Victoria, Tarlac",349.3,275.2,185.3
,Villasis,Pangasinan,440.5,352.9,246.7,"Villasis, Pangasinan",440.5,352.9,246.7
Agusan,Buenavista,Agusan_del_Norte,308.6,248.3,175.2,"Buenavista, Agusan_del_Norte",308.6,248.3,175.2
,Butuan_City,Agusan_del_Norte,308.6,248.3,175.2,"Butuan_City, Agusan_del_Norte",308.6,248.3,175.2
,Cabadbaran_City,Agusan_del_Norte,308.6,248.3,175.2,"Cabadbaran_City, Agusan_del_Norte",308.6,248.3,175.2
,Magallanes,Agusan_del_Norte,308.6,248.3,175.2,"Magallanes, Agusan_del_Norte",308.6,248.3,175.2
,Remedios_T_Romualdez,Agusan_del_Norte,308.6,248.3,175.2,"Remedios_T_Romualdez, Agusan_del_Norte",308.6,248.3,175.2
Bicol,Bombon,Camarines_Sur,520.3,411.1,278.7,"Bombon, Camarines_Sur",520.3,411.1,278.7
,Cabusao,Camarines_Sur,520.3,411.1,278.7,"Cabusao, Camarines_Sur",520.3,411.1,278.7
,Calabanga,Camarines_Sur,520.3,411.1,278.7,"Calabanga, Camarines_Sur",520.3,411.1,278.7
,Camaligan,Camarines_Sur,520.3,411.1,278.7,"Camaligan, Camarines_Sur",520.3,411.1,278.7
,Canaman,Camarines_Sur,520.3,411.1,278.7,"Canaman, Camarines_Sur",520.3,411.1,278.7
,Gainza,Camarines_Sur,520.3,411.1,278.7,"Gainza, Camarines_Sur",520.3,411.1,278.7
,Libmanan,Camarines_Sur,520.3,411.1,278.7,"Libmanan, Camarines_Sur",520.3,411.1,278.7
,Magarao,Camarines_Sur,520.3,411.1,278.7,"Magarao, Camarines_Sur",520.3,411.1,278.7
,Milaor,Camarines_Sur,520.3,411.1,278.7,"Milaor, Camarines_Sur",520.3,411.1,278.7
,Minalabac,Camarines_Sur,520.3,411.1,278.7,"Minalabac, Camarines_Sur",520.3,411.1,278.7
,Naga_City,Camarines_Sur,520.3,411.1,278.7,"Naga_City, Camarines_Sur",520.3,411.1,278.7
,Pamplona,Camarines_Sur,520.3,411.1,278.7,"Pamplona, Camarines_Sur",520.3,411.1,278.7
,San_Fernando,Camarines_Sur,520.3,411.1,278.7,"San_Fernando, Camarines_Sur",520.3,411.1,278.7
Cagayan,Alcala,Cagayan,465.5,367.2,248,"Alcala, Cagayan",465.5,367.2,248
,Alfonso_Lista,Ifugao,427.9,345.5,245.6,"Alfonso_Lista, Ifugao",427.9,345.5,245.6
,Allacapan,Cagayan,484,379.3,252.5,"Allacapan, Cagayan",484,379.3,252.5
,Amulung,Cagayan,465.5,367.2,248,"Amulung, Cagayan",465.5,367.2,248
,Aparri,Cagayan,484,379.3,252.5,"Aparri, Cagayan",484,379.3,252.5
,Baggao,Cagayan,465.5,367.2,248,"Baggao, Cagayan",465.5,367.2,248
,Ballesteros,Cagayan,484,379.3,252.5,"Ballesteros, Cagayan",484,379.3,252.5
,Buguey,Cagayan,484,379.3,252.5,"Buguey, Cagayan",484,379.3,252.5
,Burgos,Isabela,465.5,367.2,248,"Burgos, Isabela",465.5,367.2,248
,Cabagan,Isabela,465.5,367.2,248,"Cabagan, Isabela",465.5,367.2,248
,Camalaniugan,Cagayan,484,379.3,252.5,"Camalaniugan, Cagayan",484,379.3,252.5
,Conner,Apayao,602,479.8,331.7,"Conner, Apayao",602,479.8,331.7
